ID|NAME|CP|LVL|STATE|SHINY|MOVE1|MOVE2|MOVE3
VILEPLUME|Vileplume|1,313|18|LUCKY||||-
MAGIKARP|Magikarp|152|21|LUCKY||||-
CHIKORITA|Chikorita|262|10|LUCKY||||-
WEEZING|Weezing|1,279|20|LUCKY||||-
GOLEM|Golem|1,654|20|LUCKY||||-
TEDDIURSA|Teddiursa|691|19|LUCKY||||-
NIDORINA|Nidorina|759|21|LUCKY||||-
JIGGLYPUFF|Jigglypuff|334|17|LUCKY||||-
MAKUHITA|Makuhita|181|8|LUCKY||||-
ODDISH|Oddish|236||TRASH||||-
STARAPTOR|Staraptor|1,023|13|LUCKY||||-
RHYPERIOR|Rhyperior|3,440|36|LUCKY||||-
GALLADE_MALE|Gallade♂|2,777|34|LUCKY||||-
DROWZEE|Drowzee|135||TRASH||||-
EKANS|Ekans|204|8|LUCKY||||-
IVYSAUR|Ivysaur|709|15|LUCKY||||-
STEELIX|Steelix|1,706|25|LUCKY||||-
MANKEY|Mankey|121|4|LUCKY||||-
SNOVER|Snover|396|12|LUCKY||||-
LUDICOLO|Ludicolo|1,708|26|LUCKY||||-
PONYTA|Ponyta|375|8|LUCKY||||-
ROSERADE|Roserade|1,995|24|LUCKY||||-
CYNDAQUIL|Cyndaquil|128|5|LUCKY||||-
GENGAR|Gengar|1,491|18|LUCKY||||-
SNEASEL|Sneasel|747|13|LUCKY||||-
EEVEE|Eevee|452|15|LUCKY||||-
ZUBAT|Zubat|276|15|LUCKY||||-
MACHOP|Machop|93|3|LUCKY||||-
EXEGGCUTE|Exeggcute|84||TRASH||||-
DUSKULL|Duskull|50|3|LUCKY||||-
VENUSAUR|Venusaur|2,315|31|LUCKY||Razor Leaf|Sludge Bomb|Charizard
VICTREEBEL|Victreebel|1,488|22|LUCKY||||-
VICTREEBEL|Victreebel|1,469|21|LUCKY||||-
ARMALDO|Armaldo|2,141|27|LUCKY||||-
BLAZIKEN|Blaziken|2,416|31|LUCKY||||-
BANETTE|Banette|1,500|23|LUCKY||||-
LEDYBA|Ledyba|10|1|LUCKY||||-
SWINUB|Swinub|10|1|LUCKY||||-
TURTWIG|Turtwig|16|1|LUCKY||||-
BULBASAUR|Bulbasaur|569|18|LUCKY||||-
GLOOM|Gloom|515|11|LUCKY||||-
CHIMCHAR|Chimchar|472|18|LUCKY||||-
LILLIPUP|Lillipup|40|2|LUCKY||||-
LILLIPUP|Lillipup|386|15|LUCKY||||-
MAGNEMITE|Magnemite|98|3|LUCKY||||-
MAGNEMITE|Magnemite|99|3|LUCKY||||-
PATRAT|Patrat|148|7|LUCKY||||-
TURTWIG|Turtwig|157|5|LUCKY||||-
SUNKERN|Sunkern|190|18|LUCKY||||-
SPOINK|Spoink|97|3|LUCKY||||-
MISDREAVUS|Misdreavus|256|5|LUCKY||||-
DUSKNOIR_PURIFIED|Dusknoir (Purified)|2,134|34|LUCKY||Hex|Return|-
URSARING|Ursaring|1,653|20|LUCKY||||-
BLAZIKEN|Blaziken|1,776|22|LUCKY||Fire Spin|Blast Burn|Overheat
TENTACOOL|Tentacool|524|18|LUCKY||||-
RHYHORN|Rhyhorn|226|5|LUCKY||||-
GIRAFARIG|Girafarig|629|11|LUCKY||||-
TENTACOOL|Tentacool|695|24|LUCKY||||-
RHYHORN|Rhyhorn|264|6|LUCKY||||-
GEODUDE_ALOLA|Alolan Geodude|247|7|LUCKY||||-
HOPPIP|Hoppip|77|5|LUCKY||||-
MAGNEMITE|Magnemite|581|15|LUCKY||||-
TENTACOOL|Tentacool|257|9|LUCKY||||-
POLITOED_PURIFIED|Politoed (Purified)|1,784|26|LUCKY||Bubble|Return|-
BELDUM|Beldum|42|2|LUCKY||||-
NIDORAN_FEMALE|Nidoran♀|367|16|LUCKY||||-
EXEGGCUTE|Exeggcute|154|5|LUCKY||||-
VAPOREON|Vaporeon|1,757|20|LUCKY||||-
FLAREON|Flareon|1,534|18|LUCKY||||-
EEVEE|Eevee|359|12|LUCKY||||-
SCIZOR|Scizor|842|10|LUCKY||||-
POLIWAG|Poliwag|271|12|LUCKY||||-
MASQUERAIN|Masquerain|764|12|LUCKY||||-
NIDORAN_FEMALE|Nidoran♀|520|23|LUCKY||||-
GROTLE|Grotle|417|8|LUCKY||||-
SLOWBRO|Slowbro|1,137|16|LUCKY||||-
SLOWKING|Slowking|1,934|27|LUCKY||||-
GLIGAR|Gligar|943|18|LUCKY||||-
WORMADAM_FEMALE_SANDY|Wormadam♀ (Sandy)|549|11|LUCKY||||-
EEVEE|Eevee|272|9|LUCKY||||-
NIDORAN_MALE|Nidoran♂|307|13|LUCKY||||-
MAGMORTAR|Magmortar|2,370|27|LUCKY||||-
FROSLASS_FEMALE|Froslass♀|1,661|29|LUCKY||||-
MAGNEZONE_PURIFIED|Magnezone (Purified)|2,498|28|LUCKY||Spark|Return|-
GOLEM|Golem|478|6|LUCKY||||-
RHYDON|Rhydon|613|7|LUCKY||||-
RATICATE_PURIFIED|Raticate (Purified)|1,223|25|LUCKY||Bite|Return|-
WEAVILE|Weavile|2,490|29|LUCKY||||-
ELECTRIKE|Electrike|597|22|LUCKY||||-
GASTLY|Gastly|411|12|LUCKY||||-
HOOTHOOT|Hoothoot|409|22|LUCKY||||-
KOFFING|Koffing|378|11|LUCKY||||-
AGGRON|Aggron|1,609|19|LUCKY||||-
MEDITITE|Meditite|383|20|LUCKY||||-
MURKROW|Murkrow|21|1|LUCKY||||-
ALAKAZAM|Alakazam|1,475|17|LUCKY||Counter|Future Sight|-
AIPOM|Aipom|528|14|LUCKY||||-
PLUSLE|Plusle|549|11|LUCKY||||-
MACHAMP|Machamp|936|11|LUCKY||||-
MR_MIME|Mr. Mime|1,555|25|LUCKY||||-
CHERRIM_OVERCAST|Cherrim (Overcast)|1,487|26|LUCKY||||-
MR_MIME|Mr. Mime|1,738|28|LUCKY||||-
GLALIE_MALE|Glalie♂|1,648|28|LUCKY||||-
FLAREON|Flareon|1,450|17|LUCKY||||-
SNORUNT_MALE|Snorunt♂|167|7|LUCKY||||-
PINSIR|Pinsir|2,499|30|LUCKY||||-
MAMOSWINE|Mamoswine|2,141|23|LUCKY||||-
AGGRON|Aggron|2,699|34|LUCKY||||-
PIDOVE|Pidove|88|4|LUCKY||||-
JYNX|Jynx|794|11|LUCKY||||-
PATRAT|Patrat|389|18|LUCKY||||-
SLAKOTH|Slakoth|42|2|LUCKY||||-
MINUN|Minun|572|12|LUCKY||||-
BUNEARY|Buneary|455|13|LUCKY||||-
YANMA|Yanma|234|6|LUCKY||||-
YANMA|Yanma|551|13|LUCKY||||-
BEARTIC|Beartic|2,385|28|LUCKY||||-
RAICHU_WINTER_HAT|Raichu (Winter Hat)|1,186|19|LUCKY||||-
MOLTRES_PURIFIED|Moltres (Purified)|3,267|37|LUCKY||Fire Spin|Return|Fire Blast
ROSERADE|Roserade|2,483|30|LUCKY||||-
RAICHU_PARTY_HAT_PURPLE|Raichu (Purple Party Hat)|1,414|23|LUCKY||||-
BAGON|Bagon|619|19|LUCKY||||-
DROWZEE|Drowzee|657|23|LUCKY||||-
BONSLY|Bonsly|730|20|LUCKY||||-
CLOYSTER|Cloyster|1,946|27|LUCKY||||-
HONCHKROW|Honchkrow|2,016|26|LUCKY||||-
XATU|Xatu|1,409|23|LUCKY||||-
SNOVER|Snover|739|23|LUCKY||||-
VENONAT|Venonat|482|17|LUCKY||||-
DELIBIRD|Delibird|481|16|LUCKY||||-
MISMAGIUS|Mismagius|1,844|25|LUCKY||||-
EMPOLEON|Empoleon|2,474|31|LUCKY||Waterfall|Hydro Cannon|Hydro Pump
SEALEO|Sealeo|1,000|21|LUCKY||||-
EMPOLEON|Empoleon|2,480|31|LUCKY||Waterfall|Hydro Cannon|Hydro Pump
ODDISH|Oddish|588|17|LUCKY||||-
BEEDRILL|Beedrill|1,556|31|LUCKY||||-
WHISMUR|Whismur|485|27|LUCKY||||-
SPINARAK|Spinarak|108|5|LUCKY||||-
DIGLETT_ALOLA|Alolan Diglett|280|15|LUCKY||||-
PIDGEOT|Pidgeot|1,074|18|LUCKY||||-
POLIWRATH_PURIFIED|Poliwrath (Purified)|1,823|25|LUCKY||Rock Smash|Return|-
KRICKETUNE|Kricketune|1,382|30|LUCKY||||-
CASTFORM_SUNNY|Castform (Sunny)|725|16|LUCKY||||-
PATRAT|Patrat|537|25|LUCKY||||-
SHIFTRY|Shiftry|2,039|33|LUCKY||||-
PIKACHU_PARTY_HAT_PURPLE|Pikachu (Purple Party Hat)|425|16|LUCKY||||-
PIKACHU_WINTER_HAT|Pikachu (Winter Hat)|382|15|LUCKY||||-
PALPITOAD|Palpitoad|956|25|LUCKY||||-
STARLY|Starly|336|17|LUCKY||||-
PRIMEAPE|Primeape|1,949|31|LUCKY||||-
NOSEPASS|Nosepass|725|26|LUCKY||||-
CUBONE|Cubone|405|14|LUCKY||||-
NOSEPASS|Nosepass|580|21|LUCKY||||-
VOLTORB|Voltorb|584|21|LUCKY||||-
CHARIZARD|Charizard|2,414|30|LUCKY||Fire Spin|Overheat|Dragon Claw
RALTS_FEMALE|Ralts♀|480|36|LUCKY||||-
HEATRAN|Heatran|2,990|28|LUCKY||||-
TERRAKION|Terrakion|2,959|28|LUCKY||||-
WEEDLE|Weedle|215|17|LUCKY||||-
GROWLITHE|Growlithe|840|24|LUCKY||||-
SHELLOS_EAST_SEA|Shellos (East Sea)|926|29|LUCKY||||-
DRILBUR|Drilbur|842|22|LUCKY||||-
SLUGMA|Slugma|758|32|LUCKY||||-
SMEARGLE|Smeargle|264|23|LUCKY||Quick Attack|Dig|-
FOONGUS|Foongus|765|28|LUCKY||||-
MAGMAR|Magmar|1,396|21|LUCKY||||-
ONIX|Onix|875|29|LUCKY||||-
TAILLOW|Taillow|609|29|LUCKY||||-
ODDISH|Oddish|524|15|LUCKY||||-
SANDSHREW|Sandshrew|1,124|35|LUCKY||||-
NATU|Natu|680|22|LUCKY||||-
MAGIKARP|Magikarp|177|25|LUCKY||||-
WURMPLE|Wurmple|323|20|LUCKY||||-
GRIMER|Grimer|923|24|LUCKY||||-
BUIZEL|Buizel|620|21|LUCKY||||-
CASTFORM_RAINY|Castform (Rainy)|1,045|23|LUCKY||||-
BRONZOR|Bronzor|312|19|LUCKY||||-
SHELMET|Shelmet|109|5|LUCKY||||-
SABLEYE|Sableye|620|15|LUCKY||||-
LILLIPUP|Lillipup|385|15|LUCKY||||-
MINUN|Minun|1,232|26|LUCKY||||-
LUVDISC|Luvdisc|454|19|LUCKY||||-
DRIFBLIM|Drifblim|1,539|23|LUCKY||||-
RHYHORN|Rhyhorn|1,080|23|LUCKY||||-
GROUDON|Groudon|2,498|21|LUCKY||||-
FLYGON|Flygon|1,584|21|LUCKY||||-
TIMBURR|Timburr|915|25|LUCKY||||-
RHYHORN|Rhyhorn|1,380|30|LUCKY||||-
LICKITUNG|Lickitung|798|20|LUCKY||||-
OSHAWOTT|Oshawott|574|20|LUCKY||||-
TEPIG|Tepig|987|36|LUCKY||||-
HITMONLEE|Hitmonlee|1,492|20|LUCKY||||-
PSYDUCK|Psyduck|333|11|LUCKY||||-
CINCCINO|Cinccino|1,251|20|LUCKY||||-
VOLTORB|Voltorb|311|11|LUCKY||||-
SKORUPI|Skorupi|448|16|LUCKY||||-
LITWICK|Litwick|841|31|LUCKY||||-
TAILLOW|Taillow|566|27|LUCKY||||-
RIOLU|Riolu|550|20|LUCKY||||-
DIGLETT|Diglett|185|10|LUCKY||||-
PSYDUCK|Psyduck|594|19|LUCKY||||-
MAREEP|Mareep|625|23|LUCKY||||-
CROBAT_PURIFIED|Crobat (Purified)|1,858|25|LUCKY||Air Slash|Return|Air Cutter
SNIVY|Snivy|552|24|LUCKY||||-
BUNEARY_FLOWER_CROWN|Buneary (Flower Crown)|17|1|LUCKY||||-
VOLBEAT|Volbeat|443|9|LUCKY||||-
ILLUMISE|Illumise|1,083|22|LUCKY||||-
ZANGOOSE|Zangoose|1,476|22|LUCKY||||-
ALAKAZAM|Alakazam|2,458|28|LUCKY|SHINY|Counter|Focus Blast|-
DITTO|Ditto|400|17|LUCKY||||-
GALVANTULA|Galvantula|1,614|26|LUCKY||||-
CRAWDAUNT|Crawdaunt|1,477|21|LUCKY||||-
FEEBAS|Feebas|164|23|LUCKY||||-
HORSEA|Horsea|615|21|LUCKY||||-
EEVEE|Eevee|631|21|LUCKY||||-
NIDOKING|Nidoking|2,212|32|LUCKY||||-
PIKACHU_CHARIZARD_CAP|Pikachu (Charizard Cap)|13|1|LUCKY||||-
CATERPIE|Caterpie|347|30|LUCKY||||-
EXEGGUTOR_PURIFIED|Exeggutor (Purified)|2,491|29|LUCKY||Bullet Seed|Return|-
EEVEE|Eevee|893|31|LUCKY||||-
PIKACHU_UMBREON_CAP|Pikachu (Umbreon Cap)|489|19|LUCKY||||-
CYNDAQUIL|Cyndaquil|623|23|LUCKY||||-
ABRA|Abra|973|26|LUCKY||||-
SKARMORY|Skarmory|684|11|LUCKY||||-
DUNSPARCE|Dunsparce|1,358|29|LUCKY||||-
BARBOACH|Barboach|521|23|LUCKY||||-
PIKACHU_RAYQUAZA_CAP|Pikachu (Rayquaza Cap)|234|9|LUCKY||||-
SANDSHREW_PURIFIED|Sandshrew (Purified)|885|25|LUCKY||Metal Claw|Return|-
SHIFTRY|Shiftry|1,964|30|LUCKY||Bullet Seed|Leaf Tornado|-
ELECTABUZZ|Electabuzz|2,055|33|LUCKY||||-
SNORLAX|Snorlax|2,032|22|LUCKY||||-
CASTFORM_NORMAL|Castform (Normal)|1,224|27|LUCKY||||-
MIGHTYENA|Mightyena|1,065|20|LUCKY||||-
UNOWN_A|Unown A|660|20|LUCKY||||-
GLAMEOW|Glameow|804|33|LUCKY||||-
PIKACHU_LUCARIO_CAP|Pikachu (Lucario Cap)|677|26|LUCKY||||-
CROAGUNK|Croagunk|864|36|LUCKY||||-
SHUCKLE|Shuckle|265|25|LUCKY||||-
CRUSTLE|Crustle|1,084|15|LUCKY||||-
CHIMCHAR|Chimchar|659|25|LUCKY||||-
GOTHORITA|Gothorita|681|15|LUCKY||||-
HIPPOWDON|Hippowdon|1,731|20|LUCKY||||-
KABUTO|Kabuto|770|20|LUCKY||||-
BURMY_MALE|Burmy♂|20|2|LUCKY||||-
||23||LUCKY||||-
SAWK|Sawk|1,499|19|LUCKY||||-
CHANSEY|Chansey|800|23|LUCKY||||-
WORMADAM_FEMALE_TRASH|Wormadam♀ (Trash)|933|21|LUCKY||||-
CLAMPERL|Clamperl|531|15|LUCKY||||-
ABSOL|Absol|1,064|15|LUCKY||||-
VESPIQUEN_FEMALE|Vespiquen♀|1,488|26|LUCKY||||-
CLAYDOL|Claydol|1,478|27|LUCKY||||-
SOLOSIS|Solosis|658|17|LUCKY||||-
GOLETT|Golett|620|19|LUCKY||||-
PURRLOIN|Purrloin|505|24|LUCKY||||-
MOTHIM_MALE|Mothim♂|1,063|21|LUCKY||||-
BEEDRILL|Beedrill|1,311|25|LUCKY||Infestation|Drill Run|Fell Stinger
COMBEE_MALE|Combee♂|337|25|LUCKY||||-
VOLBEAT|Volbeat|1,489|31|LUCKY||||-
KLINK|Klink|542|20|LUCKY||||-
CLEFABLE|Clefable|1,473|21|LUCKY||||-
TOGEKISS|Togekiss|2,500|26|LUCKY||||-
TROPIUS|Tropius|1,101|20|LUCKY||||-
CASTFORM_SUNNY|Castform (Sunny)|1,492|36|LUCKY||||-
KRICKETOT|Kricketot|238|22|LUCKY||||-
NINCADA|Nincada|482|23|LUCKY||||-
HARIYAMA|Hariyama|2,491|33|LUCKY||||-
PIKACHU_PARTY_HAT_RED|Pikachu (Red Party Hat)|443|17|LUCKY||||-
KARRABLAST|Karrablast|228|7|LUCKY||||-
PIKACHU_UNKNOWN_HAT|Pikachu (Unknown Hat)|720|28|LUCKY||Thunder Shock|Fly|Discharge
SENTRET|Sentret|193|11|LUCKY||||-
CHARMANDER_PARTY_HAT_RED|Charmander (Red Party Hat)|500|18|LUCKY||||-
LUNATONE|Lunatone|1,475|22|LUCKY||Confusion|Psychic|-
LUNATONE|Lunatone|1,468|22|LUCKY||Rock Throw|Rock Slide|-
PIKACHU_FLOWER_HAT|Pikachu (Flower Hat)|341|13|LUCKY||||-
SCOLIPEDE|Scolipede|2,099|31|LUCKY||||-
MISDREAVUS_PURIFIED|Misdreavus (Purified)|1,361|25|LUCKY||Hex|Return|-
DUGTRIO|Dugtrio|1,232|28|LUCKY||||-
DELCATTY|Delcatty|1,274|32|LUCKY||||-
MASQUERAIN|Masquerain|2,059|35|LUCKY||||-
ESCAVALIER|Escavalier|1,469|18|LUCKY||||-
PETILIL|Petilil|165|6|LUCKY||||-
PIKACHU_SUMMER_HAT|Pikachu (Summer Hat)|420|16|LUCKY||||-
CLEFABLE|Clefable|2,056|30|LUCKY||||-
GENGAR|Gengar|2,459|31|LUCKY||Shadow Claw|Shadow Punch|-
GENGAR|Gengar|1,492|18|LUCKY||Hex|Shadow Punch|-
PURRLOIN|Purrloin|556|26|LUCKY||||-
GENGAR|Gengar|1,496|18|LUCKY||Shadow Claw|Shadow Ball|-
GENGAR|Gengar|2,445|31|LUCKY||Hex|Focus Blast|-
CLAMPERL|Clamperl|92|3|LUCKY||||-
PINECO|Pineco|561|18|LUCKY||||-
TANGROWTH|Tangrowth|2,487|29|LUCKY||||-
KINGLER|Kingler|2,000|25|LUCKY||||-
UNOWN_G|Unown G|620|19|LUCKY||||-
UNOWN_O|Unown O|850|26|LUCKY||||-
RAYQUAZA|Rayquaza|3,264|31|LUCKY||Air Slash|Aerial Ace|-
HEATMOR|Heatmor|2,003|30|LUCKY||||-
ODDISH|Oddish|1,034|31|LUCKY||||-
STARYU|Staryu|327|10|LUCKY||||-
ESCAVALIER|Escavalier|2,443|30|LUCKY||Bug Bite|Megahorn|-
