TYPE|ID_FULL|DISPLAY|COMMENTS|ID|_GENDER|_REGION|_FORM|_COSTUME|_PURIFIED|POGO_ID_FULL|POGO_ID|POGO_FORM|THESILPHROAD_ID_FULL|TYPE1|TYPE2|ATK|DEF|STA|FAMILY|PARENT|BRANCH|POKEDEX_ID|GEN|REGION|FORM|GENDER|COSTUME|PURIFIED|BABY|LEGENDARY|MYTHICAL|MEGA|_blank|REGIONAL|RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW|RELEASED_MEGA|RARITY||pokedexId|assetBundleSuffix|assetBundleValue|assetBundleCostume|pokemon_image|pokemon_image_shiny
POGO|BUTTERFREE|Butterfree||BUTTERFREE||||||BUTTERFREE|BUTTERFREE||butterfree|BUG|FLYING|167|137|155|FAMILY_CATERPIE|CATERPIE||012|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|||COMMON||012||||pokemon_icon_012_00.png|pokemon_icon_012_00_shiny.png
POGO|WEEDLE|Weedle||WEEDLE||||||WEEDLE|WEEDLE||weedle|BUG|POISON|63|50|120|FAMILY_WEEDLE|WEEDLE||013|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||COMMON||013||||pokemon_icon_013_00.png|pokemon_icon_013_00_shiny.png
POGO|KAKUNA|Kakuna||KAKUNA||||||KAKUNA|KAKUNA||kakuna|BUG|POISON|46|75|128|FAMILY_WEEDLE|WEEDLE||014|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||COMMON||014||||pokemon_icon_014_00.png|pokemon_icon_014_00_shiny.png
POGO|BEEDRILL|Beedrill||BEEDRILL||||||BEEDRILL|BEEDRILL||beedrill|BUG|POISON|169|130|163|FAMILY_WEEDLE|WEEDLE||015|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW|RELEASED_MEGA|COMMON||015||||pokemon_icon_015_00.png|pokemon_icon_015_00_shiny.png
POGO|PIDGEY|Pidgey||PIDGEY||||||PIDGEY|PIDGEY||pidgey|NORMAL|FLYING|85|73|120|FAMILY_PIDGEY|PIDGEY||016|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|||COMMON||016||||pokemon_icon_016_00.png|pokemon_icon_016_00_shiny.png
POGO|PIDGEOTTO|Pidgeotto||PIDGEOTTO||||||PIDGEOTTO|PIDGEOTTO||pidgeotto|NORMAL|FLYING|117|105|160|FAMILY_PIDGEY|PIDGEY||017|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|||COMMON||017||||pokemon_icon_017_00.png|pokemon_icon_017_00_shiny.png
POGO|PIDGEOT|Pidgeot||PIDGEOT||||||PIDGEOT|PIDGEOT||pidgeot|NORMAL|FLYING|166|154|195|FAMILY_PIDGEY|PIDGEY||018|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY||RELEASED_MEGA|COMMON||018||||pokemon_icon_018_00.png|pokemon_icon_018_00_shiny.png
POGO|RATTATA|Rattata||RATTATA||||||RATTATA|RATTATA||rattata|NORMAL||103|70|102|FAMILY_RATTATA|RATTATA||019|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||COMMON||019||||pokemon_icon_019_00.png|pokemon_icon_019_00_shiny.png
POGO|RATICATE|Raticate||RATICATE||||||RATICATE|RATICATE||raticate|NORMAL||161|139|146|FAMILY_RATTATA|RATTATA||020|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||COMMON||020||||pokemon_icon_020_00.png|pokemon_icon_020_00_shiny.png
POGO|SPEAROW|Spearow||SPEAROW||||||SPEAROW|SPEAROW||spearow|NORMAL|FLYING|112|60|120|FAMILY_SPEAROW|SPEAROW||021|1|KANTO|||||||||||RELEASED_POKEMON||||COMMON||021||||pokemon_icon_021_00.png|pokemon_icon_021_00_shiny.png
POGO|FEAROW|Fearow||FEAROW||||||FEAROW|FEAROW||fearow|NORMAL|FLYING|182|133|163|FAMILY_SPEAROW|SPEAROW||022|1|KANTO|||||||||||RELEASED_POKEMON||||COMMON||022||||pokemon_icon_022_00.png|pokemon_icon_022_00_shiny.png
POGO|EKANS|Ekans||EKANS||||||EKANS|EKANS||ekans|POISON||110|97|111|FAMILY_EKANS|EKANS||023|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||RARE||023||||pokemon_icon_023_00.png|pokemon_icon_023_00_shiny.png
POGO|ARBOK|Arbok||ARBOK||||||ARBOK|ARBOK||arbok|POISON||167|153|155|FAMILY_EKANS|EKANS||024|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||RARE||024||||pokemon_icon_024_00.png|pokemon_icon_024_00_shiny.png
POGO|PIKACHU|Pikachu||PIKACHU||||||PIKACHU|PIKACHU||pikachu|ELECTRIC||112|96|111|FAMILY_PIKACHU|PIKACHU||025|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|||RARE||025||||pokemon_icon_025_00.png|pokemon_icon_025_00_shiny.png
POGO|RAICHU|Raichu||RAICHU||||||RAICHU|RAICHU||raichu|ELECTRIC||193|151|155|FAMILY_PIKACHU|PIKACHU||026|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|||RARE||026||||pokemon_icon_026_00.png|pokemon_icon_026_00_shiny.png
POGO|SANDSHREW|Sandshrew||SANDSHREW||||||SANDSHREW|SANDSHREW||sandshrew|GROUND||126|120|137|FAMILY_SANDSHREW|SANDSHREW||027|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||RARE||027||||pokemon_icon_027_00.png|pokemon_icon_027_00_shiny.png
POGO|SANDSLASH|Sandslash||SANDSLASH||||||SANDSLASH|SANDSLASH||sandslash|GROUND||182|175|181|FAMILY_SANDSHREW|SANDSHREW||028|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||RARE||028||||pokemon_icon_028_00.png|pokemon_icon_028_00_shiny.png
POGO|NIDORAN_FEMALE|Nidoran♀||NIDORAN_FEMALE||||||NIDORAN_FEMALE|NIDORAN_FEMALE||nidoran-f|POISON||86|89|146|FAMILY_NIDORAN_FEMALE|NIDORAN_FEMALE||029|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||RARE||029||||pokemon_icon_029_00.png|pokemon_icon_029_00_shiny.png
POGO|NIDORINA|Nidorina||NIDORINA||||||NIDORINA|NIDORINA||nidorina|POISON||117|120|172|FAMILY_NIDORAN_FEMALE|NIDORAN_FEMALE||030|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||RARE||030||||pokemon_icon_030_00.png|pokemon_icon_030_00_shiny.png
POGO|NIDOQUEEN|Nidoqueen||NIDOQUEEN||||||NIDOQUEEN|NIDOQUEEN||nidoqueen|POISON|GROUND|180|173|207|FAMILY_NIDORAN_FEMALE|NIDORAN_FEMALE||031|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||RARE||031||||pokemon_icon_031_00.png|pokemon_icon_031_00_shiny.png
POGO|NIDORAN_MALE|Nidoran♂||NIDORAN_MALE||||||NIDORAN_MALE|NIDORAN_MALE||nidoran-m|POISON||105|76|130|FAMILY_NIDORAN_MALE|NIDORAN_MALE||032|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||RARE||032||||pokemon_icon_032_00.png|pokemon_icon_032_00_shiny.png
POGO|NIDORINO|Nidorino||NIDORINO||||||NIDORINO|NIDORINO||nidorino|POISON||137|111|156|FAMILY_NIDORAN_MALE|NIDORAN_MALE||033|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||RARE||033||||pokemon_icon_033_00.png|pokemon_icon_033_00_shiny.png
POGO|NIDOKING|Nidoking||NIDOKING||||||NIDOKING|NIDOKING||nidoking|POISON|GROUND|204|156|191|FAMILY_NIDORAN_MALE|NIDORAN_MALE||034|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||RARE||034||||pokemon_icon_034_00.png|pokemon_icon_034_00_shiny.png
POGO|CLEFAIRY|Clefairy||CLEFAIRY||||||CLEFAIRY|CLEFAIRY||clefairy|FAIRY||107|108|172|FAMILY_CLEFAIRY|CLEFAIRY||035|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|||RARE||035||||pokemon_icon_035_00.png|pokemon_icon_035_00_shiny.png
POGO|CLEFABLE|Clefable||CLEFABLE||||||CLEFABLE|CLEFABLE||clefable|FAIRY||178|162|216|FAMILY_CLEFAIRY|CLEFAIRY||036|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|||RARE||036||||pokemon_icon_036_00.png|pokemon_icon_036_00_shiny.png
POGO|VULPIX|Vulpix||VULPIX||||||VULPIX|VULPIX||vulpix|FIRE||96|109|116|FAMILY_VULPIX|VULPIX||037|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||RARE||037||||pokemon_icon_037_00.png|pokemon_icon_037_00_shiny.png
POGO|NINETALES|Ninetales||NINETALES||||||NINETALES|NINETALES||ninetales|FIRE||169|190|177|FAMILY_VULPIX|VULPIX||038|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||RARE||038||||pokemon_icon_038_00.png|pokemon_icon_038_00_shiny.png
POGO|JIGGLYPUFF|Jigglypuff||JIGGLYPUFF||||||JIGGLYPUFF|JIGGLYPUFF||jigglypuff|NORMAL|FAIRY|80|41|251|FAMILY_JIGGLYPUFF|JIGGLYPUFF||039|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|||EPIC||039||||pokemon_icon_039_00.png|pokemon_icon_039_00_shiny.png
POGO|WIGGLYTUFF|Wigglytuff||WIGGLYTUFF||||||WIGGLYTUFF|WIGGLYTUFF||wigglytuff|NORMAL|FAIRY|156|90|295|FAMILY_JIGGLYPUFF|JIGGLYPUFF||040|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|||EPIC||040||||pokemon_icon_040_00.png|pokemon_icon_040_00_shiny.png
POGO|ZUBAT|Zubat||ZUBAT||||||ZUBAT|ZUBAT||zubat|POISON|FLYING|83|73|120|FAMILY_ZUBAT|ZUBAT||041|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||COMMON||041||||pokemon_icon_041_00.png|pokemon_icon_041_00_shiny.png
POGO|GOLBAT|Golbat||GOLBAT||||||GOLBAT|GOLBAT||golbat|POISON|FLYING|161|150|181|FAMILY_ZUBAT|ZUBAT||042|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||COMMON||042||||pokemon_icon_042_00.png|pokemon_icon_042_00_shiny.png
POGO|ODDISH|Oddish||ODDISH||||||ODDISH|ODDISH||oddish|GRASS|POISON|131|112|128|FAMILY_ODDISH|ODDISH||043|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||RARE||043||||pokemon_icon_043_00.png|pokemon_icon_043_00_shiny.png
POGO|GLOOM|Gloom||GLOOM||||||GLOOM|GLOOM||gloom|GRASS|POISON|153|136|155|FAMILY_ODDISH|ODDISH||044|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||RARE||044||||pokemon_icon_044_00.png|pokemon_icon_044_00_shiny.png
POGO|VILEPLUME|Vileplume||VILEPLUME||||||VILEPLUME|VILEPLUME||vileplume|GRASS|POISON|202|167|181|FAMILY_ODDISH|ODDISH|VILEPLUME|045|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||RARE||045||||pokemon_icon_045_00.png|pokemon_icon_045_00_shiny.png
POGO|PARAS|Paras||PARAS||||||PARAS|PARAS||paras|BUG|GRASS|121|99|111|FAMILY_PARAS|PARAS||046|1|KANTO|||||||||||RELEASED_POKEMON||||COMMON||046||||pokemon_icon_046_00.png|pokemon_icon_046_00_shiny.png
POGO|PARASECT|Parasect||PARASECT||||||PARASECT|PARASECT||parasect|BUG|GRASS|165|146|155|FAMILY_PARAS|PARAS||047|1|KANTO|||||||||||RELEASED_POKEMON||||COMMON||047||||pokemon_icon_047_00.png|pokemon_icon_047_00_shiny.png
POGO|VENONAT|Venonat||VENONAT||||||VENONAT|VENONAT||venonat|BUG|POISON|100|100|155|FAMILY_VENONAT|VENONAT||048|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||COMMON||048||||pokemon_icon_048_00.png|pokemon_icon_048_00_shiny.png
POGO|VENOMOTH|Venomoth||VENOMOTH||||||VENOMOTH|VENOMOTH||venomoth|BUG|POISON|179|143|172|FAMILY_VENONAT|VENONAT||049|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||COMMON||049||||pokemon_icon_049_00.png|pokemon_icon_049_00_shiny.png
POGO|DIGLETT|Diglett||DIGLETT||||||DIGLETT|DIGLETT||diglett|GROUND||109|78|67|FAMILY_DIGLETT|DIGLETT||050|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||RARE||050||||pokemon_icon_050_00.png|pokemon_icon_050_00_shiny.png
POGO|DUGTRIO|Dugtrio||DUGTRIO||||||DUGTRIO|DUGTRIO||dugtrio|GROUND||167|134|111|FAMILY_DIGLETT|DIGLETT||051|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||RARE||051||||pokemon_icon_051_00.png|pokemon_icon_051_00_shiny.png
POGO|MEOWTH|Meowth||MEOWTH||||||MEOWTH|MEOWTH||meowth|NORMAL||92|78|120|FAMILY_MEOWTH|MEOWTH||052|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||COMMON||052||||pokemon_icon_052_00.png|pokemon_icon_052_00_shiny.png
POGO|PERSIAN|Persian||PERSIAN||||||PERSIAN|PERSIAN||persian|NORMAL||150|136|163|FAMILY_MEOWTH|MEOWTH||053|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||COMMON||053||||pokemon_icon_053_00.png|pokemon_icon_053_00_shiny.png
POGO|PSYDUCK|Psyduck||PSYDUCK||||||PSYDUCK|PSYDUCK||psyduck|WATER||122|95|137|FAMILY_PSYDUCK|PSYDUCK||054|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||RARE||054||||pokemon_icon_054_00.png|pokemon_icon_054_00_shiny.png
POGO|GOLDUCK|Golduck||GOLDUCK||||||GOLDUCK|GOLDUCK||golduck|WATER||191|162|190|FAMILY_PSYDUCK|PSYDUCK||055|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||RARE||055||||pokemon_icon_055_00.png|pokemon_icon_055_00_shiny.png
POGO|MANKEY|Mankey||MANKEY||||||MANKEY|MANKEY||mankey|FIGHTING||148|82|120|FAMILY_MANKEY|MANKEY||056|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|||COMMON||056||||pokemon_icon_056_00.png|pokemon_icon_056_00_shiny.png
POGO|PRIMEAPE|Primeape||PRIMEAPE||||||PRIMEAPE|PRIMEAPE||primeape|FIGHTING||207|138|163|FAMILY_MANKEY|MANKEY||057|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|||COMMON||057||||pokemon_icon_057_00.png|pokemon_icon_057_00_shiny.png
POGO|GROWLITHE|Growlithe||GROWLITHE||||||GROWLITHE|GROWLITHE||growlithe|FIRE||136|93|146|FAMILY_GROWLITHE|GROWLITHE||058|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||RARE||058||||pokemon_icon_058_00.png|pokemon_icon_058_00_shiny.png
POGO|ARCANINE|Arcanine||ARCANINE||||||ARCANINE|ARCANINE||arcanine|FIRE||227|166|207|FAMILY_GROWLITHE|GROWLITHE||059|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||RARE||059||||pokemon_icon_059_00.png|pokemon_icon_059_00_shiny.png
POGO|POLIWAG|Poliwag||POLIWAG||||||POLIWAG|POLIWAG||poliwag|WATER||101|82|120|FAMILY_POLIWAG|POLIWAG||060|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||RARE||060||||pokemon_icon_060_00.png|pokemon_icon_060_00_shiny.png
POGO|POLIWHIRL|Poliwhirl||POLIWHIRL||||||POLIWHIRL|POLIWHIRL||poliwhirl|WATER||130|123|163|FAMILY_POLIWAG|POLIWAG||061|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||RARE||061||||pokemon_icon_061_00.png|pokemon_icon_061_00_shiny.png
POGO|POLIWRATH|Poliwrath||POLIWRATH||||||POLIWRATH|POLIWRATH||poliwrath|WATER|FIGHTING|182|184|207|FAMILY_POLIWAG|POLIWAG|POLIWRATH|062|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||RARE||062||||pokemon_icon_062_00.png|pokemon_icon_062_00_shiny.png
POGO|ABRA|Abra||ABRA||||||ABRA|ABRA||abra|PSYCHIC||195|82|93|FAMILY_ABRA|ABRA||063|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||RARE||063||||pokemon_icon_063_00.png|pokemon_icon_063_00_shiny.png
POGO|KADABRA|Kadabra||KADABRA||||||KADABRA|KADABRA||kadabra|PSYCHIC||232|117|120|FAMILY_ABRA|ABRA||064|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||RARE||064||||pokemon_icon_064_00.png|pokemon_icon_064_00_shiny.png
POGO|ALAKAZAM|Alakazam||ALAKAZAM||||||ALAKAZAM|ALAKAZAM||alakazam|PSYCHIC||271|167|146|FAMILY_ABRA|ABRA||065|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||RARE||065||||pokemon_icon_065_00.png|pokemon_icon_065_00_shiny.png
POGO|MACHOP|Machop||MACHOP||||||MACHOP|MACHOP||machop|FIGHTING||137|82|172|FAMILY_MACHOP|MACHOP||066|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||RARE||066||||pokemon_icon_066_00.png|pokemon_icon_066_00_shiny.png
POGO|MACHOKE|Machoke||MACHOKE||||||MACHOKE|MACHOKE||machoke|FIGHTING||177|125|190|FAMILY_MACHOP|MACHOP||067|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||RARE||067||||pokemon_icon_067_00.png|pokemon_icon_067_00_shiny.png
POGO|MACHAMP|Machamp||MACHAMP||||||MACHAMP|MACHAMP||machamp|FIGHTING||234|159|207|FAMILY_MACHOP|MACHOP||068|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||RARE||068||||pokemon_icon_068_00.png|pokemon_icon_068_00_shiny.png
POGO|BELLSPROUT|Bellsprout||BELLSPROUT||||||BELLSPROUT|BELLSPROUT||bellsprout|GRASS|POISON|139|61|137|FAMILY_BELLSPROUT|BELLSPROUT||069|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||COMMON||069||||pokemon_icon_069_00.png|pokemon_icon_069_00_shiny.png
POGO|WEEPINBELL|Weepinbell||WEEPINBELL||||||WEEPINBELL|WEEPINBELL||weepinbell|GRASS|POISON|172|92|163|FAMILY_BELLSPROUT|BELLSPROUT||070|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||COMMON||070||||pokemon_icon_070_00.png|pokemon_icon_070_00_shiny.png
POGO|VICTREEBEL|Victreebel||VICTREEBEL||||||VICTREEBEL|VICTREEBEL||victreebel|GRASS|POISON|207|135|190|FAMILY_BELLSPROUT|BELLSPROUT||071|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|RELEASED_SHADOW||COMMON||071||||pokemon_icon_071_00.png|pokemon_icon_071_00_shiny.png
POGO|TENTACOOL|Tentacool||TENTACOOL||||||TENTACOOL|TENTACOOL||tentacool|WATER|POISON|97|149|120|FAMILY_TENTACOOL|TENTACOOL||072|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|||RARE||072||||pokemon_icon_072_00.png|pokemon_icon_072_00_shiny.png
POGO|TENTACRUEL|Tentacruel||TENTACRUEL||||||TENTACRUEL|TENTACRUEL||tentacruel|WATER|POISON|166|209|190|FAMILY_TENTACOOL|TENTACOOL||073|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|||RARE||073||||pokemon_icon_073_00.png|pokemon_icon_073_00_shiny.png
POGO|GEODUDE|Geodude||GEODUDE||||||GEODUDE|GEODUDE||geodude|ROCK|GROUND|132|132|120|FAMILY_GEODUDE|GEODUDE||074|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|||RARE||074||||pokemon_icon_074_00.png|pokemon_icon_074_00_shiny.png
POGO|GRAVELER|Graveler||GRAVELER||||||GRAVELER|GRAVELER||graveler|ROCK|GROUND|164|164|146|FAMILY_GEODUDE|GEODUDE||075|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|||RARE||075||||pokemon_icon_075_00.png|pokemon_icon_075_00_shiny.png
POGO|GOLEM|Golem||GOLEM||||||GOLEM|GOLEM||golem|ROCK|GROUND|211|198|190|FAMILY_GEODUDE|GEODUDE||076|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|||RARE||076||||pokemon_icon_076_00.png|pokemon_icon_076_00_shiny.png
POGO|PONYTA|Ponyta||PONYTA||||||PONYTA|PONYTA||ponyta|FIRE||170|127|137|FAMILY_PONYTA|PONYTA||077|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|||RARE||077||||pokemon_icon_077_00.png|pokemon_icon_077_00_shiny.png
POGO|RAPIDASH|Rapidash||RAPIDASH||||||RAPIDASH|RAPIDASH||rapidash|FIRE||207|162|163|FAMILY_PONYTA|PONYTA||078|1|KANTO|||||||||||RELEASED_POKEMON|RELEASED_SHINY|||RARE||078||||pokemon_icon_078_00.png|pokemon_icon_078_00_shiny.png
