|ID||POKEMON|CP|LVL|STATE|SHINY|LUCKY|%|ATK|DEF|STA|MOVE1|MOVE2|MOVE3|MEGA_EVOLVED|COSTUME|LEGENDARY|MYTHICAL|PURIFIED|BABY
62|ALAKAZAM|66|Alakazam|1,528|18|VALUABLE|SHINY||||||Counter|Focus Blast|-|-|||||
63|ALAKAZAM|66|Alakazam|2,463|29|LUCKY|SHINY|LUCKY|||||Counter|Focus Blast|-|-|||||
64|GIRATINA_ALTERED|516|Giratina (Altered)|1,881|20|VALUABLE|SHINY||||||||-|-||LEGENDARY|||
65|GIRATINA_ALTERED|516|Giratina (Altered)|1,975|21|VALUABLE|SHINY||||||||-|-||LEGENDARY|||
66|SHIFTRY|277|Shiftry|1,355|21|VALUABLE|SHINY||||||Bullet Seed|Leaf Blade|-|-|||||
67|SHIFTRY|277|Shiftry|968|15|VALUABLE|SHINY||||||Bullet Seed|Leaf Tornado|-|-|||||
68|SEEDOT|275|Seedot|224|14||SHINY||||||||-|-|||||
69|SHIFTRY|277|Shiftry|1,872|29|VALUABLE|SHINY||||||Bullet Seed|Hurricane|-|-|||||
70|SHIFTRY|277|Shiftry|1,614|25|VALUABLE|SHINY||||||Bullet Seed|Leaf Blade|-|-|||||
71|PIKACHU_LUCARIO_CAP|862|Pikachu (Lucario Cap)|459|18||SHINY||||||||-|-|LUCARIO_CAP||||
72|BRONZOR|458|Bronzor|304|19||SHINY||||||||-|-|||||
73|BRONZOR|458|Bronzor|449|28||SHINY||||||||-|-|||||
74|BRONZOR|458|Bronzor|288|18||SHINY||||||||-|-|||||
75|LICKITUNG|109|Lickitung|618|16||SHINY||||||||-|-|||||
76|CHIMCHAR|400|Chimchar|468|18||SHINY||||||||-|-|||||
77|BEEDRILL|16|Beedrill|1,171|23|VALUABLE|SHINY||||||Poison Jab|Drill Run|-|-|||||
78|WEEDLE|14|Weedle|169|14||SHINY||||||||-|-|||||
79|BEEDRILL|16|Beedrill|1,171|23|VALUABLE|SHINY||||||Infestation|Drill Run|-|-|||||
80|WEEDLE|14|Weedle|145|12||SHINY||||||||-|-|||||
81|BEEDRILL|16|Beedrill|1,272|25|VALUABLE|SHINY||||||Infestation|Drill Run|-|-|||||
82|BEEDRILL|16|Beedrill|1,323|26|VALUABLE|SHINY||||||Poison Jab|Drill Run|-|-|||||
83|WEEDLE|14|Weedle|193|16||SHINY||||||||-|-|||||
84|WEEDLE|14|Weedle|18|2||SHINY||||||||-|-|||||
85|WEEDLE|14|Weedle|44|4||SHINY||||||||-|-|||||
86|WEEDLE|14|Weedle|31|3||SHINY||||||||-|-|||||
87|WEEDLE|14|Weedle|157|13||SHINY||||||||-|-|||||
88|BEEDRILL|16|Beedrill|1,476|29|VALUABLE|SHINY||||||Poison Jab|Drill Run|-|-|||||
89|NINCADA|292|Nincada|163|8||SHINY||||||||-|-|||||
90|NIDORAN_FEMALE|30|Nidoran♀|265|12||SHINY||||||||-|-|||||
91|GASTLY|93|Gastly|229|7||SHINY||||||||-|-|||||
92|GENGAR|95|Gengar|1,597|20|VALUABLE|SHINY||||||Shadow Claw|Shadow Punch|-|-|||||
93|GASTLY|93|Gastly|670|20||SHINY||||||||-|-|||||
94|GASTLY|93|Gastly|335|10||SHINY||||||||-|-|||||
95|SUNKERN|193|Sunkern|49|5||SHINY||||||||-|-|||||
96|EXEGGUTOR_ALOLA|750|Alolan Exeggutor|1,278|16||SHINY||||||Bullet Seed|Solar Beam|-|-|||||
97|EEVEE|134|Eevee|350|12||SHINY||||||||-|-|||||
98|MAROWAK_ALOLA|751|Alolan Marowak|1,164|23||SHINY||||||Fire Spin|Flame Wheel|-|-|||||
99|ZANGOOSE|337|Zangoose|103|2||SHINY||||||||-|-|||||
100|MAROWAK_ALOLA|751|Alolan Marowak|1,363|27||SHINY||84%|10|15|13|Hex|Shadow Ball|-|-|||||
101|CARVANHA|320|Carvanha|441|16||SHINY||||||||-|-|||||
102|GYARADOS|131|Gyarados|2,643|28|VALUABLE|SHINY||44%|2|6|12|Waterfall|Aqua Tail|-|-|||||
103|MAGIKARP|130|Magikarp|84|11||SHINY||||||||-|-|||||
104|MAGIKARP|130|Magikarp|21|5||SHINY||||||||-|-|||||
105|SUDOWOODO|187|Sudowoodo|251|5||SHINY||||||||-|-|||||
106|WOBBUFFET|204|Wobbuffet|441|16||SHINY||||||||-|-|||||
107|PORYGON_Z|496|Porygon-Z|2,679|31|VALUABLE|SHINY||56%|8|9|8|Lock-On|Tri Attack|-|-|||||
108|PORYGON|138|Porygon|568|12||SHINY||||||||-|-|||||
109|PORYGON|138|Porygon|1,089|23||SHINY||||||||-|-|||||
110|PORYGON|138|Porygon|1,089|23||SHINY||||||||-|-|||||
111|PORYGON|138|Porygon|1,184|25||SHINY||||||||-|-|||||
112|PORYGON|138|Porygon|423|9||SHINY||||||||-|-|||||
113|PORYGON|138|Porygon|474|10||SHINY||||||||-|-|||||
114|PORYGON_Z|496|Porygon-Z|2,816|32|VALUABLE|SHINY||67%|7|14|9|Hidden Power (Ground)|Tri Attack|-|-|||||
115|CHARIZARD|7|Charizard|1,787|23|VALUABLE|SHINY||56%|10|7|8|Dragon Breath|Fire Blast|-|-|||||
116|HOUNDOOM|231|Houndoom|1,858|25|LUCKY|SHINY|LUCKY|91%|14|14|13|Fire Fang|Foul Play|-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
116|||||||||||||||-|-|||||
